고유번호,제품명,브랜드,카테고리,조회수,총별점,별점횟수,높은위험포함,중간위험포함,주의성분포함
110,오가닉 카밍 아로마틱 미스트,알티야오가닉스(ALTEYAORGANICS),기타화장품,6,78,78,0,0,1
111,에코 프렌들리 네일 폴리쉬 레드,앙비(envie),기타화장품,568,90,76,0,1,1
112,에코 프렌들리 네일 폴리쉬 쉬머펄,앙비(envie),기타화장품,6,58,34,0,1,1
113,에코 프렌들리 네일 폴리쉬 옐로우,앙비(envie),기타화장품,96,58,34,0,1,1
114,에코 프렌들리 네일 폴리쉬 코랄자몽,앙비(envie),기타화장품,78,23,5,0,1,1
115,에코 프렌들리 네일 폴리쉬 파스텔민트,앙비(envie),기타화장품,45,23,7,0,1,1
116,에코 프렌들리 네일 폴리쉬 파스텔바이올렛,앙비(envie),기타화장품,634,89,76,0,1,1
117,에코 프렌들리 네일 폴리쉬 파스텔블루,앙비(envie),기타화장품,6,20,6,0,1,1
118,에코 프렌들리 네일 폴리쉬 피치,앙비(envie),기타화장품,234,12,3,0,1,1
119,에코 프렌들리 네일 폴리쉬 핑크펄,앙비(envie),기타화장품,534,11,4,0,1,1
